sc_player_id,skillcorner_name,wyscout_name,wyscout_team,notes,updated_at
750595,Georgie Gent,G. Gent,Barnsley,manual,2026-03-21 21:52
760712,Jonathan Bland,J. Bland,Barnsley,manual,2026-03-21 21:52
64904,Patrick Kelly,P. Kelly,Barnsley,manual,2026-03-21 21:52
63045,Olutoyosi Tajudeen Olusanya,T. Olusanya,Houston Dynamo,manual,2026-03-21 21:52
943898,Oyindamola Ajayi,D. Ajayi,Bromley,manual,2026-03-21 21:52
83064,Cameron Humphreys,C. Humphreys,Huddersfield Town,manual,2026-03-21 21:52
37997,Elijah Adebayo,E. Adebayo,Luton Town,manual,2026-03-21 21:52
24573,Jacob Brown,J. Brown,Portsmouth,manual,2026-03-21 21:52
171167,Oscar Wallin,O. Wallin,Peterborough United,manual,2026-03-21 21:53
991625,Bryan Oneil,B. Oneil,Lincoln City FC,manual,2026-03-21 21:53
70690,Elijah Campbell,E. Xavier Campbell,Port Vale,manual,2026-03-21 21:53
771280,Rhys Walters,R. Walters,Port Vale,manual,2026-03-21 21:53
63417,Mitchell Clark,M. Clark,Fleetwood Town,manual,2026-03-21 21:53
731637,Benn David Ward,B. Ward,Reading,manual,2026-03-21 21:53
18807,Adetayo Oluwatosin Olusegun Adio Aduramigba Edun,Tayo Edun,Stockport County,manual,2026-03-21 21:54
69177,Lino Gonçalo da Cruz Sousa,Lino Sousa,Rotherham United,manual,2026-03-21 21:54
18757,Isaac Tanitoluwaloba Aduraoluwatimileyin Olaofe,Tanto Olaofe,Stockport County,manual,2026-03-21 21:55
35906,Jonny Smith,J. Smith,Gillingham,manual,2026-03-21 21:55
28930,Odin Bailey,O. Bailey,Stockport County,manual,2026-03-21 21:55
544099,Connor O'Brien,C. O'Brien,Accrington Stanley,manual,2026-03-21 21:56
1022041,Freddie  Sass ,F. Sass,Accrington Stanley,manual,2026-03-21 21:56
12087,Liam Coyle,L. Coyle,Accrington Stanley,manual,2026-03-21 21:56
24728,Shaun Whalley,S. Whalley,Accrington Stanley,manual,2026-03-21 21:56
128865,Kacper Mieczyslaw Łopata,K. Mieczyslaw Łopata,Bristol Rovers,manual,2026-03-21 21:56
1023416,Rhys James Evitt-Healey,R. Healey,Barrow,manual,2026-03-21 21:57
35901,Séamus Conneely,S. Conneely,Accrington Stanley,manual,2026-03-21 21:57
460687,Josh Gordon,J. Gordon,Barrow,manual,2026-03-21 21:57
1060513,Kane angelis gavin Thompson-sommers,K. Thompson-Sommers,Bristol Rovers,manual,2026-03-21 21:57
187447,James Gibbons,J. Gibbons,Cambridge United,manual,2026-03-21 21:57
62344,Mamadou Jobe,M. Jobe,Cambridge United,manual,2026-03-21 21:57
18905,Korey Alexander  Sheridan Smith,K. Smith,Cambridge United,manual,2026-03-21 21:57
18675,Michael Morrison,M. Morrison,Cambridge United,manual,2026-03-21 21:57
23563,Shayne Lavery,S. Lavery,Cambridge United,manual,2026-03-21 21:57
33780,Zeno Ibsen Rossi,Z. Rossi,Cambridge United,manual,2026-03-21 21:58
698013,Devan Austin Tanton Pedroza,D. Tanton,Chesterfield,manual,2026-03-21 21:58
870748,Adrian Moyosoreoluwa Ameer Akande,A. Akande,Colchester United,manual,2026-03-21 21:59
1003230,Kyreece Joshua Lisbie,K. Lisbie,Colchester United,manual,2026-03-21 22:00
860967,Charlie Mel  Barker,C. Barker,Crawley Town,manual,2026-03-21 22:00
737407,Harry Forster,H. Forster,Crawley Town,manual,2026-03-21 22:00
23106,Jack Roles,J. Roles,South Shields,manual,2026-03-21 22:00
729157,Jay Williams,J. Williams,Crawley Town,manual,2026-03-21 22:00
35543,Louie Watson,L. Watson,Crawley Town,manual,2026-03-21 22:00
61628,Max Anderson,M. Anderson,Crawley Town,manual,2026-03-21 22:00
868144,Harry Waldock,H. Waldock,Gillingham,manual,2026-03-21 22:00
179097,Ronan Coughlan,R. Coughlan,Fleetwood Town,manual,2026-03-21 22:00
862003,Joe Thomas,J. Thomas,Newport County,manual,2026-03-21 22:00
1006330,Moses Alexander Walker,M. Walker,Newport County U18,manual,2026-03-21 22:00
29840,Conor Grant,C. Grant,Notts County,manual,2026-03-21 22:00
61483,John Marquis,J. Marquis,Shrewsbury Town,manual,2026-03-21 22:00
183535,Malvind Singh Benning,M. Benning,Shrewsbury Town,manual,2026-03-21 22:00
1034821,Daniel González-Birchall,D. Gonzalez,Swindon Town,manual,2026-03-21 22:00
1023100,Harrison Gray,H. Gray,Swindon Town U18,manual,2026-03-21 22:00
797949,William Tamen,W. Tamen,Tranmere Rovers,manual,2026-03-21 22:00
1023166,Harrison Burke,H. Burke,Walsall,manual,2026-03-21 22:00
813676,Jamie Ryan Jellis,J. Jellis,Walsall,manual,2026-03-21 22:01
